First,Last,Traprock,Soapstone,Goodwin,NipSouth,Solstice,Peoples,Tunxis,Macedonia,Cockaponsett,Total
DANIEL,ROGOZ,88.80,85.89,98.88,84.89,90.35,80.68,100,93.9,97.48,820.87
LEE,DAVIS,80.95,78.77,93.6,86.63,87.67,83.9,94.71,95.92,95.76,797.91
FRANKLYN,GANDIAGA,46.53,52.89,64.34,60.58,63.05,57.35,63.66,63.18,69.39,540.97
JAMES,BOEDING,100.00,100,*,100.00,100.00,100,*,*,*,500.00
JEREMY,BEEBE,73.69,72.21,84.04,77.44,77.48,74.14,*,*,*,459.00
DOMINIC,WILSON,63.77,55.80,75.22,60.63,66.81,59.74,66.7,*,*,448.67
JEFF,CLERMONT,42.84,41.71,54.31,48.41,61.60,41.1,44.65,46.04,51.61,432.27
TED,COWLES,*,61.12,*,65.58,64.99,61.34,*,*,69.36,322.39
ROBERT,LOW,70.44,*,82.28,*,78.49,"71,41",*,*,89.62,320.83
JONATHAN,MORISSET,48.37,49.72,*,53.96,55.58,50.93,59.83,*,*,318.39
THOMAS,ZALONSKI,53.12,*,66.17,58.73,*,*,60.68,*,59.09,297.79
BRUCE,CHRISTENSEN,66.56,66.94,80.67,77.57,*,*,*,*,*,291.74
SAMUEL,ALEXANDER,*,90.86,100,*,*,95.62,*,*,*,286.48
SUNDAR,VARADARAJAN,47.58,55.14,64.74,*,63.16,*,51.71,*,*,282.33
AUSTIN,FRANK,*,88.16,*,78.38,*,*,96.05,*,*,262.59
JOHN,MINERVINO,*,70.53,*,*,76.36,*,*,*,84.59,231.48
ADOLFO,SANCHEZ-BLANCO,73.83,76.5,*,76.79,*,*,*,*,*,227.12
ANTHONY,MANCUSO,52.77,*,*,53.92,59.13,55.48,*,*,*,221.30
NICHOLAS,HOLLAND,55.78,48.89,*,51.46,*,*,61.78,*,*,217.91
MICHAEL,WESTFALL,*,62.37,*,61.22,74.72,*,*,*,*,198.31
DAVID,ACHENBACH,*,46.15,*,50.99,*,44.56,*,*,53.52,195.22
NICK,ALGE,*,*,*,88.47,*,*,*,*,99.1,187.57
JONATHAN,TARBOX,58.79,54.68,*,*,*,*,*,67.88,*,181.35
DANIEL,BATES,*,87.34,*,90.32,*,*,*,*,*,177.66
JAY,GORENSKI,*,50.77,65.56,57.32,*,*,*,*,*,173.65
Tony,Di Domizio,*,*,*,*,85.49,*,84.92,*,*,170.41
DAVID,SCHREITER,55.55,50.85,54.49,*,*,*,*,*,*,160.89
SCOTT,LIVINGSTON,*,74.93,*,*,*,*,*,*,84.77,159.70
AARON,FLAMINO,*,72.13,*,83.26,*,*,*,*,*,155.39
BRAD,PELLISSIER,50.78,44.02,*,*,*,*,58.89,*,*,153.69
DAVID,BEAM,*,47.99,*,58.35,*,46.11,*,*,*,152.45
SCOTT,JOHNSON,*,43.97,*,52.60,55.31,*,*,*,*,151.88
JASON,KUDRON,72.51,*,*,*,*,74.7,*,*,*,147.21
Alex,Brown,*,*,*,*,*,*,74.79,71.42,*,146.21
SCOTT,RICE,46.72,44.27,53.79,*,*,*,*,*,*,144.78
NEAL,LEIBOWITZ,*,68.89,*,*,*,74.49,*,*,*,143.38
CHARLIE,KAYLOR,68.41,*,*,74.11,*,*,*,*,*,142.52
DEVIN,PRAY,*,67.48,*,74.21,*,*,*,*,*,141.69
JOHN,ROSSI,64.71,*,*,*,72.15,*,*,*,*,136.86
GEORGE,MASTROGIANNIS,*,64.10,*,*,72.64,*,*,*,*,136.74
MICHAEL,SCHWARZ,*,65.30,*,71.26,*,*,*,*,*,136.56
Scott,Teti,*,*,*,*,61.51,*,*,74.19,*,135.70
NICHOLAS,GODAU,*,56.71,75.64,*,*,*,*,*,*,132.35
JUSTIN,BREAULT,*,61.05,*,67.93,*,*,*,*,*,128.98
David,Soule,*,*,*,*,*,50.76,*,*,75.89,126.65
DAVE,LINDSTROM,57.46,*,68.92,*,*,*,*,*,*,126.38
ARAVIND,KOTA,*,56.48,*,68.32,*,*,*,*,*,124.80
ANSEL,HILLMER,*,*,*,56.91,*,*,66.7,*,*,123.61
 Matthew,Wakelee,*,*,64.45,*,*,55.18,*,*,*,119.63
AKPAR,PULATOV,*,*,*,56.76,*,*,*,60.94,*,117.70
BOB,ERNEST,*,53.62,*,62.31,*,*,*,*,*,115.93
CHRIS,FRANZINI,54.62,57.45,*,*,*,*,*,*,*,112.07
JOSEPH,BARBERET,52.37,*,*,57.07,*,*,*,*,*,109.44
DANIEL,HAGGERTY,58.56,*,*,49.10,*,*,*,*,*,107.66
DAVID,RACZKOWSKI,*,37.41,*,38.30,*,26.63,*,*,*,102.34
MARTIN,POWERS,*,49.01,*,51.88,*,*,*,*,*,100.89
Michael,Simons,*,*,*,*,*,*,*,100.00,*,100.00
Jeff,Walker,*,*,*,*,*,*,*,*,100.00,100.00
ELLIS,WALKER,49.67,50.12,*,*,*,*,*,*,*,99.79
SEAN,PATTEN,*,43.47,*,55.12,*,*,*,*,*,98.59
MATTHEW,DANHEISER,48.59,49.12,*,*,*,*,*,*,*,97.71
TAKERU,NAGASE,47.86,49.44,*,*,*,*,*,*,*,97.30
KEVEN,MCNEILL,*,43.62,*,51.58,*,*,*,*,*,95.20
Thomas,Brodowicz,*,*,*,*,*,*,*,94.60,*,94.60
Tyler,Tilbe,*,*,*,*,*,*,*,93.33,*,93.33
 Kyle,Donovan,*,*,88.26,*,*,*,*,*,*,88.26
BRENDAN,ATKINS,*,87.45,*,*,*,*,*,*,*,87.45
Joshua,Pasay,*,*,*,*,87.19,*,*,*,*,87.19
BEN,QUATROMONI,*,87.11,*,*,*,*,*,*,*,87.11
PATRICK,HALLAHAN,*,86.65,*,*,*,*,*,*,*,86.65
TIMOTHY,RUCKI,86.42,*,*,*,*,*,*,*,*,86.42
ANDRIS,BRIGA,*,*,*,86.24,*,*,*,*,*,86.24
BRIAN,RUSIECKI,*,85.90,*,*,*,*,*,*,*,85.90
WILLIAM,BIGLIN,*,40.94,*,44.63,*,*,*,*,*,85.57
Brian,Chakulski,*,*,*,*,85.52,*,*,*,*,85.52
Matthew,Bentz,*,*,*,*,*,*,*,85.22,*,85.22
Joseph,Cricchio,*,*,*,*,*,*,*,84.73,*,84.73
Digby,Ludlow,*,*,*,*,*,84.58,*,*,*,84.58
 Eric,Ciocca,*,*,84.12,*,*,*,*,*,*,84.12
JEFF,HATTEM,*,40.35,*,43.66,*,*,*,*,*,84.01
SHANE,MURPHY,*,*,*,83.88,*,*,*,*,*,83.88
Laurence,Lang,*,*,*,*,83.07,*,*,*,*,83.07
Daniel,Foster,*,*,*,*,*,*,*,82.42,*,82.42
Jake,Corbett,*,*,*,*,*,*,*,*,82.39,82.39
Andrew,Herzog,*,*,*,*,*,82.33,*,*,*,82.33
Thomas,Stone,*,*,*,*,*,81.52,*,*,*,81.52
DANIEL J,URIANO,*,*,*,81.44,*,*,*,*,*,81.44
Jason,Kudron,*,*,*,*,*,*,*,*,81.35,81.35
KEVIN,STEVENS,*,*,*,81.32,*,*,*,*,*,81.32
Timothy,Farrington,*,*,*,*,*,*,*,81.27,*,81.27
 Christopher,King,*,*,80.97,*,*,*,*,*,*,80.97
John,Musumeci,*,*,*,*,*,*,*,80.69,*,80.69
Jeremy,Paskind,*,*,*,*,80.61,*,*,*,*,80.61
NOAH,VANACORE,80.33,*,*,*,*,*,*,*,*,80.33
EDWARD,RUDMAN,36.29,*,*,*,43.76,*,*,*,*,80.05
 Andy,Asensio,*,*,79.98,*,*,*,*,*,*,79.98
DAN,BREHANT,*,*,*,79.46,*,*,*,*,*,79.46
TOM,STARODAJ,79.05,*,*,*,*,*,*,*,*,79.05
Dylan,McGuire,*,*,*,*,*,78.90,*,*,*,78.90
 Frank,Cervo,*,*,78.80,*,*,*,*,*,*,78.80
SHAWN,MURDZEK,*,78.68,*,*,*,*,*,*,*,78.68
Tanner,Janesky,*,*,*,*,*,*,*,78.55,*,78.55
Jeremy,Shafer,*,*,*,*,*,*,78.42,*,*,78.42
Evan,Titus,*,*,*,*,78.30,*,*,*,*,78.30
RYAN,WELTS,*,78.07,*,*,*,*,*,*,*,78.07
Christopher,Fryxell,*,*,*,*,*,*,*,*,77.97,77.97
Miche,Palmer,*,*,*,*,77.73,*,*,*,*,77.73
Patrick,Byrne,*,*,*,*,77.67,*,*,*,*,77.67
Roderick,Pratt,*,*,*,*,*,*,*,77.64,*,77.64
ALEX,MCDANIEL,*,*,*,77.27,*,*,*,*,*,77.27
Randy,Chamberland,*,*,*,*,*,*,76.71,*,*,76.71
Ross,Hanson,*,*,*,*,*,*,*,*,76.70,76.70
 John,Sherman,*,*,76.67,*,*,*,*,*,*,76.67
SCOTT,MUSKA,76.60,*,*,*,*,*,*,*,*,76.60
DOUGLAS,HOOK,35.92,*,*,40.66,*,*,*,*,*,76.58
