First,Last,Traprock,Soapstone,Goodwin,NipSouth,Solstice,Peoples,Macedonia,Cockaponset,Nipmuck,Bimblers,Tunxis,total
Nicholas,Godau,71.78,70.56,96.18,67.84,*,81.75,63.37,90.23,72.04,68.84,89.54,772.13
Michael,Schwarz,69.00,65.52,88.99,61.96,73.5,80.98,65.37,84.01,*,62.49,79.41,731.23
Daniel,Rogoz,100.00,*,*,89.35,*,97.84,87.65,*,98.63,95.39,*,568.86
Paul,Ladd,41.09,43.08,58.48,44.63,53.78,45.88,42.41,60.38,46.67,49.27,60.15,545.82
Ross,Petrone,57.92,*,76.02,54.28,60.09,61.74,*,68.7,53.74,*,*,432.49
Ted,Cowles,*,59.77,*,57.36,66.01,61.22,54.44,71.12,*,*,61.39,431.31
Daniel,Brehant,*,*,*,79.74,83.05,83.63,78.15,92.62,*,*,*,417.19
Franklyn,Gandiaga,67.74,*,*,*,*,*,50.73,*,54.64,59.76,69.78,302.65
Stephen,Shaw,*,76.19,*,74.03,82.94,*,*,*,*,63.57,*,296.73
Daniel,Blanda,*,60.79,89.46,61.54,*,74.04,*,*,*,*,*,285.83
Paul,Baldini,*,58.62,80.79,*,65.99,*,*,*,*,56.73,*,262.13
Austin,Darley,*,*,*,83.27,*,91.31,81.23,*,*,*,*,255.81
Sundar,Varadarajan,59.20,56.21,*,*,64.64,63.6,*,*,*,*,*,243.65
John,Minervino,*,72.09,*,79.62,84.43,*,*,*,*,*,*,236.14
Corey,Acker,77.54,72.67,*,75.52,*,*,*,*,*,*,*,225.73
David,Sutherland,*,56.66,*,50.59,*,*,*,*,60.92,56.87,*,225.04
Jonathan,Morisset,*,*,*,53.88,*,58.12,*,*,47.91,*,58.97,218.88
Jack,Small,*,*,*,*,*,*,72.70,*,70.62,70.28,*,213.60
Jacob,Litke,*,68.94,*,*,*,*,*,*,73.01,65.93,*,207.88
James,Boeding,*,*,*,*,*,*,100.00,*,100.00,*,*,200.00
Mark,Olivier,*,*,*,*,100.00,96.97,*,*,*,*,*,196.97
Benjamin,Chebot,*,93.25,*,96.33,*,*,*,*,*,*,*,189.58
Ansel,Hillmer,*,*,*,63.81,*,*,60.64,*,*,63.2,*,187.65
David,Cowles,*,*,*,*,96.97,89.86,*,*,*,*,*,186.83
Russell,Hammond,63.23,61.13,*,*,*,*,*,*,59.14,*,*,183.50
Matthew,Wakelee,*,55.00,*,*,*,71.03,*,*,57.20,*,*,183.23
Tim,Goric,*,86.69,*,*,*,93.37,*,*,*,*,*,180.06
Nate,Austin,*,*,*,*,60.64,*,*,*,55.00,*,63.17,178.81
Pete,Despres,*,57.11,*,62.24,*,*,*,*,57.58,*,*,176.93
Jay,Gorenski,*,46.34,72.47,56.81,*,*,*,*,*,*,*,175.62
Dave,Champoux,*,*,*,74.62,*,*,*,*,*,*,97,171.62
Joseph,Hallisey,*,*,*,*,80.95,89.05,*,*,*,*,*,170.00
Robert,Low,*,*,*,*,82.52,86.94,*,*,*,*,*,169.46
Luke,Legendre,*,81.82,*,82.99,*,*,*,*,*,*,*,164.81
Aaron,Flamino,*,79.52,*,83.97,*,*,*,*,*,*,*,163.49
Franklin,Villadiego,*,*,87.22,*,*,*,*,74.72,*,*,*,161.94
Richard,Revere,*,*,*,*,*,*,*,*,81.39,76.69,*,158.08
Scott,Livingston,*,*,*,74.76,*,*,*,*,77.68,*,*,152.44
David,Schreiter,45.24,*,*,*,*,*,*,59.92,45.49,*,*,150.65
Bryan,Twomey,51.04,41.20,57.28,*,*,*,*,*,*,*,*,149.52
Jonathan,Stanizzi,59.19,*,90.2,*,*,*,*,*,*,*,*,149.39
Michael,Miller,*,*,81.32,*,*,65.87,*,*,*,*,*,147.19
Brad,Pellissier,48.34,46.36,*,50.31,*,*,*,*,*,*,*,145.01
Joe,Parets,*,*,*,*,73.08,71.63,*,*,*,*,*,144.71
Keith,Morgan,*,*,*,63.19,81.50,*,*,*,*,*,*,144.69
Brian,O’Hanlon,*,67.95,*,*,76.41,*,*,*,*,*,*,144.36
Michael,Pelland,71.83,71.10,*,*,*,*,*,*,*,*,*,142.93
Alex,McDaniel,*,*,*,*,*,*,70.99,*,*,71.84,*,142.83
Tony,Bonanno,*,*,*,*,*,*,*,*,70.65,70.45,*,141.10
David,Hyde,*,*,*,*,*,81.26,*,*,*,59.78,*,141.04
Paul,Sulzicki,*,*,*,*,66.88,*,*,*,*,*,73.6,140.48
Thomas,Nepomuceno,*,62.25,*,*,*,77.21,*,*,*,*,*,139.46
Jeff,Lafleur,58.77,*,80.47,*,*,*,*,*,*,*,*,139.24
Caleb,Arbuckle,*,*,*,55.32,81.50,*,*,*,*,*,*,136.82
Scott,Deslongchamps,*,64.20,*,71.38,*,*,*,*,*,*,*,135.58
Blueberry,Bennett,*,65.76,*,69.81,*,*,*,*,*,*,*,135.57
Alex,Brown,70.30,*,*,*,*,*,*,*,*,64.26,*,134.56
Jordan,Wall,*,*,*,*,66.68,*,*,*,*,*,65.84,132.52
Wesley,Barnard,64.66,*,*,*,65.16,*,*,*,*,*,*,129.82
Stephan,Broderick,*,*,*,60.17,*,*,*,*,*,67.47,*,127.64
Aravind,Kota,52.43,*,74.1,*,*,*,*,*,*,*,*,126.53
Andrew,Nepomuceno,*,57.10,*,*,*,68.43,*,*,*,*,*,125.53
Rob,Sawyer,58.81,*,*,*,63.82,*,*,*,*,*,*,122.63
Adam,Warren,*,*,*,*,*,77.43,*,*,44.24,*,*,121.67
