First,Last ,Traprock,Soapstone,Goodwin,NipSouth,Solstice,Total
Suzanne,Salemi,51.50,61.15,61.32,61.62,64.02,299.61
Melissa,Pogwizd Bertele,63.92,*,74.71,81.84,78.01,298.48
Keri,Blanda,51.34,58.59,57.89,61.82,64.54,294.18
Leann,Laspino,50.07,50.98,61.28,61.87,66.37,290.57
Debbie,Livingston,85.97,99.27,*,*,100,285.24
Linda,Pierce,50.12,53.44,55.38,56.39,62.21,277.54
Michelle,McSally,58.86,*,72.33,63.16,72.34,266.69
Stephanie,White,*,100.00,*,100.00,*,200.00
Nicole,Cari,59.81,60.61,*,*,65.48,185.90
Alexandra,Finn-Atkins,87.83,*,*,90.62,*,178.45
Catherine,Walsh,*,83.39,*,86.52,*,169.91
Sara,Zuba,*,*,80.95,*,85.6,166.55
Chrystal,Thibedau,75.27,*,*,*,87.63,162.90
Heather,Morton,*,*,*,74.38,79.15,153.53
Emma,Rategan,*,*,76.26,*,76.3,152.56
Katya,Divari,*,69.83,*,75.90,*,145.73
Michelle,Costa,*,*,68.98,70.91,*,139.89
Colette,Slover,63.34,*,*,*,73.82,137.16
Jaime,Wilson,*,*,61.81,*,66.28,128.09
Gina,Monaco,*,58.36,*,*,68.8,127.16
Amanda,Hatfield,63.87,*,61.97,*,*,125.84
Heather,Kiersznowski,*,61.55,*,*,61.71,123.26
Autumn,Cyr,*,*,57.87,55.65,*,113.52
Jessica,Schreiter,54.72,*,*,54.47,*,109.19
Kate,Cervo,*,*,100.00,*,*,100.00
Marie Arnesson,Galler,100.00,*,*,*,*,100.00
Melinda,Lodge,*,*,*,*,94.99,94.99
Carolyn,Wisnowski,*,94.93,*,*,*,94.93
Alison,Gallerani,*,*,*,*,94.38,94.38
Shaina,Perry,*,*,*,93.69,*,93.69
Lori,Marcantonio,*,*,*,*,93.25,93.25
Lisa,Strom,*,*,*,*,92.99,92.99
Annie,Osullivan,*,*,91.23,*,*,91.23
Allison,Ruggiero,*,*,*,89.84,*,89.84
Sophie,Zichichi,*,*,88.61,*,*,88.61
Ariana,Pike,*,87.91,*,*,*,87.91
Bethany,Makowski,*,*,*,*,87.64,87.64
Erin,Ogrady,*,87.38,*,*,*,87.38
Debra,Hevey,*,*,*,*,87.05,87.05
Liz,Burns,*,*,*,*,86.79,86.79
Sydney,Dolan,*,86.48,*,*,*,86.48
Beth,Salonia,*,*,*,*,86.16,86.16
Kerry,Davis-Amendola,*,*,*,*,85.80,85.80
Leigh,Webb,*,*,*,*,85.41,85.41
Stephanie,McKenna,*,*,*,*,85.33,85.33
